DER.3.2 IS revision for federal authorities,audit,der,team,authority,result,security,measure,risk,http,topic
DER.4 emergency management,management,emergency,measure,http,security,regularly,risk,requirement,coordinated,process
IND.1 Operating and Control Technology,security,service,network,zone,process,management,system,protection,component,access
IND.2.1 General ICS Component,security,component,interface,requirement,control,system,administrator,ind,secure,operation
IND.2.2 Programmable Logic Controller (PLC) ,plc,programmable,component,controller,control,device,requirement,system,function,security
IND.2.3 Sensors and actuators,requirement,sensor,interface,protection,ind,measure,area,hazard,missing,actuator
IND.2.4 Machine,machine,requirement,maintenance,protection,basic,work,protected,ind,access,listed
INF.1 General Building,fire,building,access,security,measure,requirement,system,key,safety,smoke
"INF.10 meeting, event and training rooms",room,system,meeting,training,visitor,premise,security,determined,network,priority
INF.2 data center and server room,data,system,power,center,requirement,fire,air,server,case,access
INF.3 Electrical wiring,cable,electrical,electrotechnical,cabling,power,acceptance,documentation,wiring,distributor,risk
INF.4 IT cabling,cable,cabling,requirement,system,network,verlag,head,installation,transmission,communication
INF.7 office workplace,requirement,office,security,staff,workplace,employee,system,access,closed,window
INF.8 Domestic work place,workplace,office,requirement,data,institution,security,protection,employee,work,access
INF.9 Mobile Workplace,mobile,system,security,employee,institution,data,device,access,unauthorized,sensitive
ISMS.1 Security Management,security,requirement,institution,process,measure,system,ism,safety,objective,level
NET.1.1 network architecture and design,network,security,net,firewall,communication,internal,specification,connection,management,design
NET.1.2 Network Management,management,net,system,solution,data,infrastructure,module,access,time,area
NET.2.1 WLAN operation,wlan,point,network,security,access,system,net,device,data,protection
NET.2.2 Wi-Fi usage,wlan,requirement,user,access,security,usage,http,measure,nist,bund.de
NET.3.1 routers and switches,network,router,switch,requirement,configuration,emergency,service,protection,interface,policy
NET.3.2 Firewall,firewall,requirement,net,security,service,ipv,product,addition,data,secure
NET.3.3 VPN,vpn,access,vpns,system,network,user,protection,net,connection,institution
OPS.1.1.2 Proper IT Administration,administrative,ops,system,measure,requirement,application,maintenance,activity,security,change
OPS.1.1.3 Patch and Change Management,change,patch,management,example,system,ops,requirement,process,distribution,integrity
OPS.1.1.4 Protection against malicious programs,protection,system,program,ops,requirement,cia,example,increased,gateway,product
OPS.1.1.5 Logging,logging,data,security,infrastructure,event,network,module,protection,logged,network
OPS.1.1.6 Software tests and releases,software,requirement,ops,productive,data,tester,documented,federal,result,institution
OPS.1.2.2 Archiving,archiving,ops,data,system,requirement,document,storage,operation,regular,administration
OPS.1.2.3 Information and media exchange,data,ops,user,system,recipient,disk,protection,loss,network,shipping
OPS.1.2.4 Telework,teleworking,requirement,data,teleworkers,security,operation,access,measure,device,head
OPS.2.1 outsourcing for customers,outsourcing,provider,service,security,process,project,concept,access,requirement,isb
OPS.2.4 remote maintenance,remote,unauthorized,operation,system,requirement,access,institution,online,addition,loss
OPS.3.1 Outsourcing for service providers,outsourcing,provider,service,service,provider,ops,data,system,change,area
ORP.1 organization,organization,requirement,data,equipment,process,access,security,orp,isb,device
ORP.2 Personal,employee,security,institution,personnel,area,addition,supervisor,access,external,risk
ORP.3 Sensitization and training,security,training,requirement,safety,program,orp,incident,institution,order,module
ORP.4 Identity and Permission Management,user,system,access,orp,identity,authorization,requirement,process,entitlement,area
ORP.5 Compliance Management (Requirements Management) ,security,requirement,management,compliance,requirement,protection,legal,identified,data,manager
SYS.1.1 General Server,server,service,system,requirement,sys,user,access,loss,authentication,task
SYS.1.2.2 Windows Server 2012,server,window,requirement,protection,configuration,microsoft,role,area,vulnerability,loss
SYS.1.3 server under Unix,system,server,security,unix,additional,operating,sys,application,network,package
SYS.1.5 Virtualization,virtual,virtualization,system,infrastructure,management,snapshot,configuration,planning,administration,storage
SYS.1.8 Storage Solutions,storage,solution,network,sys,security,replication,policy,client,emergency,switch
SYS.2.1 General Client,system,requirement,data,client,protection,sys,stored,access,configuration,file
SYS.2.2.2 Clients under Windows 8.1,system,window,sys,data,version,microsoft,application,device,group,component
SYS.2.2.3 Clients on Windows 10,system,sys,window,requirement,account,feature,operating,cloud,data,result
SYS.2.3 Clients under Unix,operating,unix,system,client,application,sys,package,kernel,malicious,configured
SYS.3.1 Laptops,data,laptop,requirement,device,access,system,requirement,user,secure,theft
SYS.3.2.1 General Smartphones and Tablets,sys,requirement,mobile,protection,user,device,institution,security,lock,configuration
SYS.3.2.2 Mobile Device Management (MDM) ,device,mdm,sys,user,mobile,data,protection,apps,requirement,example
SYS.3.2.3 iOS (for Enterprise) ,device,ios-based,apple,requirement,apps,code,institution,service,option,period
SYS.3.2.4 Android,device,requirement,google,android,operating,software,security,data,vulnerability,system
SYS.3.4 Mobile Disk,data,carrier,mobile,medium,sys,system,example,security,disk,integrity
"SYS.4.1 printers, copiers and multifunction devices",device,multifunction,printer,printer,print,copier,copier,security,http,sys
SYS.4.4 General IoT device,device,iot,system,sys,security,requirement,data,botnet,secure,protocol
